titre,entreprise,ville,contrat,date,date_expiration,lien,source
Chargé de Suivi-Évaluation,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chargé-de-suivi-Évaluation_e_161151.html,senjob.com
Chauffeur Livreur Tricycle (Moto 3 roues),N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chauffeur-livreur-tricycle--moto-3-roues-_e_161150.html,senjob.com
Stagiaire en Droit,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/stagiaire-en-droit_e_161148.html,senjob.com
Coordinateur.rice régional.e pédagogique Afrique,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/coordinateur.rice-régional.e-pédagogique-afrique_e_161147.html,senjob.com
Responsable Fiscalité et Conformité,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/responsable-fiscalité-et-conformité_e_161146.html,senjob.com
Chauffeur Paferceau/O Wood,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/chauffeur-paferceau-o-wood_e_161145.html,senjob.com
Agent de Support Client H/F,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/agent-de-support-client-h-f_e_161144.html,senjob.com
consultant Expert Socio ou Agroéconomiste,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/consultant-expert-socio-ou-agroéconomiste_e_161143.html,senjob.com
Responsable Atelier Mécanique et Coordination,N/A,Dakar,N/A,2026-03-31,2026-04-16,https://senjob.com/sn/jobseekers/responsable-atelier-mécanique-et-coordination_e_161142.html,senjob.com
Commercial Sédentaire / Téléprospecteur (H/F),N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/commercial-sédentaire---téléprospecteur--h-f-_e_161141.html,senjob.com
Responsable de Production Extursion,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/responsable-de-production-extursion_e_161140.html,senjob.com
Project Manager,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/project-manager_e_161139.html,senjob.com
Aide Gouvernante,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/aide-gouvernante_e_161137.html,senjob.com
Maitre d’Hotel,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/maitre-d’hotel_e_161136.html,senjob.com
Agents de nettoyage,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/agents-de-nettoyage_e_161135.html,senjob.com
Assistant Caissier et commercial,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/assistant-caissier-et-commercial_e_161133.html,senjob.com
Assistante Commerciale résidante à Tambacounda,N/A,Tambacounda,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/assistante-commerciale-résidante-à-tambacounda_e_161132.html,senjob.com
Global Assurance Manager,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/global-assurance-manager_e_161130.html,senjob.com
Superviseur Génie Civil,N/A,Dakar,N/A,2026-03-30,2026-04-16,https://senjob.com/sn/jobseekers/superviseur-génie-civil_e_161129.html,senjob.com
Assistant de passation de marchés,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/assistant-de-passation-de-marchés_e_161128.html,senjob.com
Référent.e Maladies Non Transmissibles,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/référent.e-maladies-non-transmissibles_e_161127.html,senjob.com
Assistant(e) Administratif(ve) et Qualité,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/assistant-e--administratif-ve--et-qualité_e_161126.html,senjob.com
APPEL D'OFFRE/ Fourniture de kits d'hygiène me...,N/A,ziguinchor,N/A,N/A,N/A,https://senjob.com/sn/jobseekers/<b>appel-d-offre<-b>---fourniture-de-kits-d-hygiène-menstruelle_e_161107.html,senjob.com
Agent Assurance Qualité / Contrôle Qualité,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/agent-assurance-qualité---contrôle-qualité_e_161125.html,senjob.com
Expert-Comptable,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/expert-comptable_e_161124.html,senjob.com
Regional Infrastructure Advisor,N/A,Dakar,N/A,2026-03-30,2026-04-11,https://senjob.com/sn/jobseekers/regional-infrastructure-advisor_e_161123.html,senjob.com
Internal Auditor,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/internal-auditor_e_161122.html,senjob.com
Cash-Based Interventions Officer,N/A,Dakar,N/A,2026-03-30,2026-04-10,https://senjob.com/sn/jobseekers/cash-based-interventions-officer_e_161121.html,senjob.com
