titre,entreprise,ville,contrat,date,lien,source
Recrutement,N/A,"Keur Massar,
                                                                                Dakar",,"9. mars, 13:18",https://www.expat-dakar.com/annonce/recrutement-6642577,expat-dakar.com
Complexe khelcombusiness recrute,Complexe Khelcom Business,"Dakar,
                                                                                Dakar",Complexe Khelcom Business,"8. mars, 13:40",https://www.expat-dakar.com/annonce/complexe-khelcombusiness-recrute-6641178,expat-dakar.com
RECRUTEMENT AGENT DE TERRAIN EXPÉRIMENTÉ,Non défini,"Ouakam,
                                                                                Dakar",,"6. mars, 13:22",https://www.expat-dakar.com/annonce/recrutement-agent-de-terrain-experimente-6639978,expat-dakar.com
RECRUTEMENT AGENT EN MARKETING DIGITAL,Non défini,"Ouakam,
                                                                                Dakar",,"6. mars, 13:13",https://www.expat-dakar.com/annonce/recrutement-agent-en-marketing-digital-6639942,expat-dakar.com
Télécommerciale,Lunatik Strategy,"Dakar,
                                                                                Dakar",Lunatik Strategy,"6. mars, 09:46",https://www.expat-dakar.com/annonce/telecommerciale-6639604,expat-dakar.com
Senior Consultant,Haskè Group,"Dakar,
                                                                                Dakar",Haskè Group,"6. mars, 09:42",https://www.expat-dakar.com/annonce/senior-consultant-6639588,expat-dakar.com
"🌟 Nounou polyvalente– Diobass, Route de Sindia, Thiès 🌟",charles placement,"Thiès,
                                                                                Thiès",charles placement,"5. mars, 17:30",https://www.expat-dakar.com/annonce/nounou-polyvalente-diobass-route-de-sindia-thies-6638892,expat-dakar.com
HOTESSES A PIEDS,N/A,"Zac Mbao,
                                                                                Dakar",,"5. mars, 10:54",https://www.expat-dakar.com/annonce/hotesses-a-pieds-6638234,expat-dakar.com
RECRUTE DES NOUNOUS SPÉCIALISÉES AVS,Non défini,"Ouakam,
                                                                                Dakar",,"4. mars, 14:46",https://www.expat-dakar.com/annonce/recrute-des-nounous-specialisees-avs-6637376,expat-dakar.com
Responsable Projet &  Coordinations,TAXAWUMA LEADER GROUP,"Golf,
                                                                                Dakar",TAXAWUMA LEADER GROUP,"4. mars, 11:19",https://www.expat-dakar.com/annonce/responsable-projet-coordinations-6637057,expat-dakar.com
Assistante  Administrative  Financière et de Direction,TAXAWUMA LEADER GROUP,"Golf,
                                                                                Dakar",TAXAWUMA LEADER GROUP,"4. mars, 11:02",https://www.expat-dakar.com/annonce/assistante-administrative-financiere-et-de-direction-6637038,expat-dakar.com
Assistant Administratif Bilingue,88PCN,"Saint-Louis,
                                                                                Saint-Louis",88PCN,"4. mars, 09:55",https://www.expat-dakar.com/annonce/assistant-administratif-bilingue-6616301,expat-dakar.com
Sage-Femme,SOS Village d'enfants Sénégal,"Tambacounda,
                                                                                Tambacounda",SOS Village d'enfants Sénégal,"4. mars, 09:47",https://www.expat-dakar.com/annonce/sage-femme-6636919,expat-dakar.com
Un(e) Gérant(e) de Boutique,Securtech,"Almadies 2,
                                                                                Dakar",Securtech,"3. mars, 12:05",https://www.expat-dakar.com/annonce/une-gerante-de-boutique-6636083,expat-dakar.com
Recrutement/caissière/commerciaux/secrétaire,N/A,"Mbour,
                                                                                Thiès",,"2. mars, 13:34",https://www.expat-dakar.com/annonce/recrutementcaissierecommerciauxsecretaire-6564547,expat-dakar.com
Recrutement/Comptables et Commerciaux,N/A,"Mbour,
                                                                                Thiès",,"2. mars, 13:33",https://www.expat-dakar.com/annonce/recrutementcomptables-et-commerciaux-6564558,expat-dakar.com
Recrutement/Responsable commercial,N/A,"Mbour,
                                                                                Thiès",,"2. mars, 13:33",https://www.expat-dakar.com/annonce/recrutementresponsable-commercial-6564536,expat-dakar.com
